Short Term Endpoint Quality,Maximum number of cohorts,Type of Data Sharing,Cohort Inclusion Rate,Final Cohort Sample Size,Interim Futility Stopping,Treatment Efficacy Setting,Avg_Pat,Avg_Pat_First_Suc,Avg_Perc_Pat_Sup_Plac_Th,Avg_Perc_Pat_Sup_Plac_Real,Avg_Pat_Comb,Avg_Pat_Mono,Avg_Pat_Back,Avg_Pat_Plac,Avg_Pat_Plac_First_Suc,Avg_Pat_Plac_Pool,Avg_Suc_Hist,Avg_Suc_Hist_Comb,Avg_Suc_Hist_Mono,Avg_Suc_Hist_Back,Avg_Suc_Hist_Plac,Avg_Suc_Bio,Avg_Suc_Bio_Comb,Avg_Suc_Bio_Mono,Avg_Suc_Bio_Back,Avg_Suc_Bio_Plac,Avg_Cohorts,Avg_Cohorts_First_Suc,Avg_TP,Avg_FP,Avg_TN,Avg_FN,Avg_any_P,FDR,PTP,PTT1ER,FWER,Disj_Power,FWER_BA,Disj_Power_BA
0.65,3,all,0.01,100,Yes,Setting 12,105.9096,180.7184035,0.77469963,0.77469963,30.8041,30.8041,22.1507,22.1507,33.94456763,105.9096,26.9408,12.8574,6.7713,4.7541,2.558,45.1583,14.6585,12.8077,9.1983,8.4938,1.7131,2.390243902,0.0511,0,0,1.662,0.0451,0,0.029828965,,,0.0451,0,0.0451
0.65,3,all,0.01,100,Yes,Setting 5,99.8512,155.0769231,0.774318406,0.774318406,28.9255,28.9255,21.0001,21.0001,28.80769231,99.8512,17.8459,5.7798,5.7785,4.19,2.0976,40.2624,11.8747,11.8533,8.5745,7.9599,1.7045,2.307692308,0,0.0026,1.7019,0,0.0026,1,,0.001525374,0.0026,,0.0026,0
0.9,3,all,0.01,100,Yes,Setting 5,107.0596,162.5,0.774365784,0.774365784,31.0905,31.0905,22.4393,22.4393,30.609375,107.0596,19.1972,6.2206,6.2405,4.507,2.2291,26.1126,8.0788,8.1153,5.8629,4.0556,1.7156,2.453125,0,0.0066,1.709,0,0.0064,1,,0.003847051,0.0064,,0.0064,0
1,3,all,0.01,100,Yes,Setting 5,113.8932,156.3225806,0.775384368,0.775384368,33.2405,33.2405,23.7061,23.7061,29.83064516,113.8932,20.4665,6.6867,6.6529,4.7427,2.3842,20.4665,6.6867,6.6529,4.7427,2.3842,1.739,2.290322581,0,0.0129,1.7261,0,0.0124,1,,0.007418056,0.0124,,0.0124,0
0.65,5,all,0.01,100,Yes,Setting 5,117.1124,204,0.777118045,0.777118045,35.2873,35.2873,23.2689,23.2689,35.45454545,117.1124,21.0367,7.0399,7.0492,4.6168,2.3308,47.2307,14.4299,14.4636,9.5092,8.828,1.9893,3,0,0.0023,1.987,0,0.0022,1,,0.001156186,0.0022,,0.0022,0
0.9,3,all,0.01,100,Yes,Setting 12,139.7264,193.2787524,0.779864241,0.779864241,41.5982,41.5982,28.265,28.265,35.48213125,139.7264,36.1873,17.4924,9.2222,6.1332,3.3395,42.8953,18.157,11.5163,7.7152,5.5068,1.8534,2.461338532,0.1936,0,0,1.6598,0.1541,0,0.104456674,,,0.1541,0,0.1541
0.65,5,all,0.01,100,Yes,Setting 12,125.11,237.2268603,0.777508684,0.777508684,37.8974,37.8974,24.6576,24.6576,40.41742287,125.11,33.8791,16.4055,8.8544,5.5295,3.0897,53.9538,18.1804,15.9199,10.294,9.5595,2.0114,3.332123412,0.0662,0,0,1.9452,0.0552,0,0.032912399,,,0.0552,0,0.0552
0.9,5,all,0.01,100,Yes,Setting 5,128.5232,246.9803922,0.778586313,0.778586313,39.172,39.172,25.0896,25.0896,40.25490196,128.5232,23.1822,7.8129,7.8303,5.0268,2.5122,31.431,10.1749,10.2125,6.5173,4.5263,2.049,3.745098039,0,0.0104,2.0386,0,0.0102,1,,0.005075647,0.0102,,0.0102,0
0.65,7,all,0.01,100,Yes,Setting 5,125.2312,278.5806452,0.777932947,0.777932947,38.4065,38.4065,24.2091,24.2091,44.48387097,125.2312,22.5708,7.6534,7.6584,4.8439,2.4151,50.5363,15.7367,15.7132,9.9255,9.1609,2.1233,4.193548387,0,0.0031,2.1202,0,0.0031,1,,0.001459992,0.0031,,0.0031,0
0.65,7,all,0.01,100,Yes,Setting 12,138.2856,301.71875,0.778910473,0.778910473,42.957,42.957,26.1858,26.1858,46.3296875,138.2856,39.3368,19.1284,10.5727,6.1335,3.5022,60.2217,20.7665,18.2489,11.0099,10.1964,2.1939,4.3359375,0.0877,0,0,2.1062,0.064,0,0.039974475,,,0.064,0,0.064
1,5,all,0.01,100,Yes,Setting 5,139.806,211.1366906,0.780115043,0.780115043,42.8904,42.8904,27.0126,27.0126,36.00719424,139.806,25.2295,8.583,8.562,5.399,2.6855,25.2295,8.583,8.562,5.399,2.6855,2.115,3.143884892,0,0.0147,2.1003,0,0.0139,1,,0.006950355,0.0139,,0.0139,0
0.9,7,all,0.01,100,Yes,Setting 5,138.8236,277.8113208,0.77872136,0.77872136,43.0642,43.0642,26.3476,26.3476,44.14150943,138.8236,25.1239,8.5816,8.5917,5.3169,2.6337,33.9509,11.1369,11.1915,6.8842,4.7383,2.1963,4.169811321,0,0.011,2.1853,0,0.0106,1,,0.005008423,0.0106,,0.0106,0
1,3,all,0.01,100,Yes,Setting 12,154.2524,180.2169982,0.781665386,0.781665386,46.1455,46.1455,30.9807,30.9807,33.10759494,154.2524,40.1583,19.4869,10.2176,6.7773,3.6765,40.1583,19.4869,10.2176,6.7773,3.6765,1.8997,2.391500904,0.2891,0,0,1.6106,0.2215,0,0.152181923,,,0.2215,0,0.2215
1,7,all,0.01,100,Yes,Setting 5,152.74,311.2795031,0.780518506,0.780518506,47.7839,47.7839,28.5861,28.5861,46.19875776,152.74,27.6852,9.5544,9.5559,5.705,2.8699,27.6852,9.5544,9.5559,5.705,2.8699,2.3026,4.658385093,0,0.0173,2.2853,0,0.0162,1,,0.007513246,0.0162,,0.0162,0
0.9,5,all,0.01,100,Yes,Setting 12,175.9472,256.8830069,0.784664325,0.784664325,55.3604,55.3604,32.6132,32.6132,41.46903123,175.9472,49.4899,24.3264,13.3128,7.5498,4.3009,57.1516,24.9699,16.1765,9.3133,6.6919,2.3031,3.468501853,0.2917,0,0,2.0114,0.1891,0,0.126655378,,,0.1891,0,0.1891
1,5,all,0.01,100,Yes,Setting 12,201.8688,246.1199853,0.788502556,0.788502556,64.3025,64.3025,36.6319,36.6319,39.78726537,201.8688,57.4078,28.4108,15.5132,8.5932,4.8906,57.4078,28.4108,15.5132,8.5932,4.8906,2.4528,3.360323887,0.4492,0,0,2.0036,0.2721,0,0.183137639,,,0.2721,0,0.2721
0.9,7,all,0.01,100,Yes,Setting 12,204.2092,303.8408881,0.786875334,0.786875334,66.3256,66.3256,35.779,35.779,45.96438483,204.2092,61.4793,30.3898,17.1304,8.7609,5.1982,69.5876,30.9737,20.2961,10.6065,7.7113,2.6252,4.152173913,0.3987,0,0,2.2265,0.2167,0,0.151874143,,,0.2167,0,0.2167
1,7,all,0.01,100,Yes,Setting 12,234.8072,287.9698939,0.790930602,0.790930602,77.3137,77.3137,40.0899,40.0899,43.16010948,234.8072,71.5512,35.5879,20.1795,9.8943,5.8895,71.5512,35.5879,20.1795,9.8943,5.8895,2.8173,3.973657202,0.5736,0,0,2.2437,0.2933,0,0.203599191,,,0.2933,0,0.2933
0.65,3,dynamic,0.01,100,Yes,Setting 5,98.9748,113.3333333,0.773985689,0.773985689,28.5924,28.5924,20.895,20.895,21.83333333,98.9748,17.6634,5.686,5.7237,4.1754,2.0783,39.8767,11.7239,11.6864,8.5752,7.8912,1.7003,1.888888889,0,0.0018,1.6985,0,0.0018,1,,0.001058637,0.0018,,0.0018,0
