sensitivity_biomarker;cohorts_max;trial_struc;sharing_type;cohort_random;n_int;setting;Avg_Pat;Avg_Cohorts;PTP;PTT1ER;FWER;Disj_Power
0.65;3;stop_post_mono;all;0.01;50;Setting1;89,69;1,66;;0,00;0,00;0,60
0.9;7;stop_post_back;all;0.01;50;Setting13;108,31;1,98;;0,01;0,01;
0.9;3;no_plac;all;0.01;50;Setting2;108,45;1,73;;0,04;0,07;
0.65;5;stop_post_back;all;0.01;50;Setting1;102,15;1,88;;0,00;0,01;
0.65;3;all_plac;dynamic;0.01;50;Setting1;88,57;1,65;;0,00;0,00;
0.9;3;all_plac;all;0.01;50;Setting1;87,36;1,63;;0,00;0,00;
0.9;3;stop_post_back;all;0.01;50;Setting1;87,77;1,64;;0,00;0,00;
0.9;3;all_plac;dynamic;0.01;50;Setting1;87,22;1,63;;0,00;0,00;
0.9;3;stop_post_back;dynamic;0.01;50;Setting1;87,27;1,63;;0,00;0,00;
0.65;3;all_plac;all;0.01;50;Setting1;88,98;1,65;;0,00;0,00;
0.9;3;stop_post_mono;all;0.01;50;Setting1;88,00;1,64;;0,00;0,00;
0.9;3;stop_post_mono;all;0.01;50;Setting13;89,16;1,65;;0,00;0,00;
0.65;3;stop_post_back;all;0.01;50;Setting1;89,43;1,66;;0,00;0,00;
0.65;3;stop_post_mono;dynamic;0.01;50;Setting1;89,40;1,66;;0,00;0,00;
0.65;3;stop_post_back;dynamic;0.01;50;Setting1;89,21;1,66;;0,00;0,00;
0.9;3;stop_post_back;dynamic;0.01;50;Setting13;88,18;1,64;;0,00;0,00;
0.65;3;all_plac;dynamic;0.01;50;Setting13;88,59;1,65;;0,00;0,00;
0.65;3;all_plac;all;0.01;50;Setting13;88,88;1,65;;0,00;0,00;
0.9;3;all_plac;dynamic;0.01;50;Setting13;88,57;1,65;;0,00;0,00;
0.9;3;all_plac;all;0.01;50;Setting13;89,27;1,66;;0,00;0,00;
0.65;3;stop_post_mono;dynamic;0.01;50;Setting13;88,58;1,64;;0,00;0,00;
0.9;3;stop_post_back;all;0.01;50;Setting13;88,90;1,65;;0,00;0,01;
0.65;3;stop_post_back;all;0.01;50;Setting13;89,43;1,65;;0,00;0,00;
0.65;3;stop_post_back;dynamic;0.01;50;Setting13;88,84;1,65;;0,00;0,00;
0.65;3;stop_post_mono;all;0.01;50;Setting13;89,27;1,65;;0,00;0,00;
0.65;3;stop_post_mono;dynamic;0.01;50;Setting2;88,86;1,65;;0,00;0,00;
0.65;3;no_plac;dynamic;0.01;50;Setting1;107,90;1,73;;0,05;0,08;
0.9;3;no_plac;all;0.01;50;Setting13;107,99;1,72;;0,04;0,07;
0.65;7;all_plac;all;0.01;50;Setting2;107,51;1,99;;0,00;0,00;
0.9;3;stop_post_back;dynamic;0.01;50;Setting2;88,63;1,65;;0,00;0,00;
0.65;3;stop_post_mono;all;0.01;50;Setting6;90,55;1,66;;0,00;0,01;
0.9;3;all_plac;all;0.01;50;Setting2;88,18;1,64;;0,00;0,00;
0.65;3;all_plac;all;0.01;50;Setting2;88,64;1,64;;0,00;0,00;
0.9;3;all_plac;dynamic;0.01;50;Setting2;88,11;1,64;;0,00;0,00;
0.9;3;stop_post_back;all;0.01;50;Setting2;88,34;1,63;;0,00;0,00;
0.65;3;all_plac;dynamic;0.01;50;Setting2;88,28;1,64;;0,00;0,00;
0.65;3;stop_post_back;all;0.01;50;Setting2;88,66;1,64;;0,00;0,00;
0.65;3;stop_post_back;dynamic;0.01;50;Setting2;88,55;1,64;;0,00;0,00;
0.9;3;stop_post_mono;all;0.01;50;Setting2;88,68;1,64;;0,00;0,00;
0.65;5;stop_post_back;all;0.01;50;Setting6;103,19;1,87;;0,01;0,01;
0.65;3;stop_post_mono;all;0.01;50;Setting2;89,35;1,65;;0,00;0,01;
0.9;5;all_plac;all;0.01;50;Setting1;99,57;1,85;;0,00;0,00;
0.65;3;all_plac;dynamic;0.01;50;Setting6;90,84;1,66;;0,00;0,01;
0.9;7;all_plac;all;0.01;50;Setting1;105,88;1,96;;0,00;0,00;
0.65;5;all_plac;all;0.01;50;Setting1;101,85;1,88;;0,00;0,00;
0.9;5;stop_post_back;all;0.01;50;Setting6;108,65;1,91;;0,01;0,02;
0.65;7;all_plac;all;0.01;50;Setting13;107,26;1,98;;0,00;0,00;
0.65;3;stop_post_mono;dynamic;0.01;50;Setting6;90,21;1,65;;0,00;0,01;
0.65;5;all_plac;all;0.01;50;Setting13;100,95;1,87;;0,00;0,00;
0.65;3;stop_post_back;dynamic;0.01;50;Setting6;90,59;1,66;;0,00;0,01;
0.65;3;all_plac;all;0.01;50;Setting6;90,68;1,65;;0,00;0,00;
0.65;3;stop_post_back;all;0.01;50;Setting6;90,83;1,66;;0,00;0,01;
0.65;5;stop_post_mono;all;0.01;50;Setting13;102,66;1,88;;0,01;0,01;
0.9;5;stop_post_back;all;0.01;50;Setting1;100,16;1,85;;0,00;0,00;
0.9;5;stop_post_mono;all;0.01;50;Setting1;100,71;1,86;;0,00;0,01;
0.9;3;all_plac;dynamic;0.01;50;Setting6;92,83;1,66;;0,01;0,01;
0.65;5;stop_post_mono;all;0.01;50;Setting1;103,21;1,89;;0,00;0,01;
0.9;5;all_plac;all;0.01;50;Setting13;102,26;1,89;;0,00;0,00;
0.9;5;stop_post_back;all;0.01;50;Setting13;101,26;1,86;;0,00;0,01;
0.9;5;stop_post_mono;all;0.01;50;Setting13;101,67;1,86;;0,00;0,01;
0.65;5;stop_post_back;all;0.01;50;Setting13;103,18;1,89;;0,00;0,01;
0.9;3;all_plac;all;0.01;50;Setting6;93,37;1,66;;0,01;0,01;
0.9;3;stop_post_back;dynamic;0.01;50;Setting6;93,03;1,66;;0,01;0,01;
0.65;7;all_plac;all;0.01;50;Setting1;106,41;1,97;;0,00;0,00;
0.65;3;no_plac;all;0.01;50;Setting1;108,39;1,74;;0,05;0,08;
0.9;3;stop_post_mono;all;0.01;50;Setting6;94,62;1,67;;0,01;0,01;
0.9;3;stop_post_back;all;0.01;50;Setting6;94,68;1,67;;0,01;0,01;
0.9;5;all_plac;all;0.01;50;Setting2;100,16;1,86;;0,00;0,00;
0.65;5;all_plac;all;0.01;50;Setting2;101,69;1,88;;0,00;0,00;
0.65;3;no_plac;all;0.01;50;Setting13;109,16;1,73;;0,05;0,08;
0.65;7;stop_post_back;all;0.01;50;Setting1;108,07;1,98;;0,01;0,01;
0.9;7;stop_post_back;all;0.01;50;Setting1;106,74;1,96;;0,00;0,01;
0.9;7;all_plac;all;0.01;50;Setting13;107,02;1,97;;0,00;0,00;
0.65;7;stop_post_mono;all;0.01;50;Setting1;107,72;1,97;;0,01;0,01;
0.65;7;stop_post_mono;all;0.01;50;Setting13;108,65;1,98;;0,01;0,01;
0.9;5;stop_post_mono;all;0.01;50;Setting2;101,72;1,87;;0,00;0,01;
0.9;3;no_plac;dynamic;0.01;50;Setting1;106,69;1,72;;0,03;0,06;
0.9;5;stop_post_back;all;0.01;50;Setting2;101,53;1,87;;0,00;0,01;
0.65;5;stop_post_back;all;0.01;50;Setting2;102,03;1,88;;0,00;0,01;
0.9;7;stop_post_mono;all;0.01;50;Setting1;107,83;1,97;;0,00;0,01;
0.65;5;stop_post_mono;all;0.01;50;Setting2;102,86;1,88;;0,00;0,01;
0.65;7;stop_post_back;all;0.01;50;Setting13;108,71;1,99;;0,01;0,01;
