ShortTermEndpointQuality,Maximumnumberofcohorts,TypeofDataSharing,CohortInclusionRate,FinalCohortSampleSize,InterimFutilityStopping,TreatmentEfficacySetting,Avg_Pat,Avg_Pat_First_Suc,Avg_Perc_Pat_Sup_Plac,Avg_Cohorts,FDR,PTP,PTT1ER,FWER,Disj_Power,FWER_BA,Disj_Power_BA
0.65,3,all,0.01,100,Yes,12,105.9096,180.7184035,0.77469963,1.7131,0,0.029828965,,,0.0451,0,0.0451
0.65,3,all,0.01,100,Yes,5,99.8512,155.0769231,0.774318406,1.7045,1,,0.001525374,0.0026,,0.0026,0
0.9,3,all,0.01,100,Yes,5,107.0596,162.5,0.774365784,1.7156,1,,0.003847051,0.0064,,0.0064,0
1,3,all,0.01,100,Yes,5,113.8932,156.3225806,0.775384368,1.739,1,,0.007418056,0.0124,,0.0124,0
0.65,5,all,0.01,100,Yes,5,117.1124,204,0.777118045,1.9893,1,,0.001156186,0.0022,,0.0022,0
0.9,3,all,0.01,100,Yes,12,139.7264,193.2787524,0.779864241,1.8534,0,0.104456674,,,0.1541,0,0.1541
0.65,5,all,0.01,100,Yes,12,125.11,237.2268603,0.777508684,2.0114,0,0.032912399,,,0.0552,0,0.0552
0.9,5,all,0.01,100,Yes,5,128.5232,246.9803922,0.778586313,2.049,1,,0.005075647,0.0102,,0.0102,0
0.65,7,all,0.01,100,Yes,5,125.2312,278.5806452,0.777932947,2.1233,1,,0.001459992,0.0031,,0.0031,0
0.65,7,all,0.01,100,Yes,12,138.2856,301.71875,0.778910473,2.1939,0,0.039974475,,,0.064,0,0.064
1,5,all,0.01,100,Yes,5,139.806,211.1366906,0.780115043,2.115,1,,0.006950355,0.0139,,0.0139,0
0.9,7,all,0.01,100,Yes,5,138.8236,277.8113208,0.77872136,2.1963,1,,0.005008423,0.0106,,0.0106,0
1,3,all,0.01,100,Yes,12,154.2524,180.2169982,0.781665386,1.8997,0,0.152181923,,,0.2215,0,0.2215
1,7,all,0.01,100,Yes,5,152.74,311.2795031,0.780518506,2.3026,1,,0.007513246,0.0162,,0.0162,0
0.9,5,all,0.01,100,Yes,12,175.9472,256.8830069,0.784664325,2.3031,0,0.126655378,,,0.1891,0,0.1891
1,5,all,0.01,100,Yes,12,201.8688,246.1199853,0.788502556,2.4528,0,0.183137639,,,0.2721,0,0.2721
0.9,7,all,0.01,100,Yes,12,204.2092,303.8408881,0.786875334,2.6252,0,0.151874143,,,0.2167,0,0.2167
1,7,all,0.01,100,Yes,12,234.8072,287.9698939,0.790930602,2.8173,0,0.203599191,,,0.2933,0,0.2933
0.65,3,dynamic,0.01,100,Yes,5,98.9748,113.3333333,0.773985689,1.7003,1,,0.001058637,0.0018,,0.0018,0
0.9,3,dynamic,0.01,100,Yes,5,103.5236,141.826087,0.773908803,1.7048,1,,0.002698264,0.0046,,0.0046,0
1,3,dynamic,0.01,100,Yes,5,107.8348,131.0666667,0.774868968,1.7265,1,,0.0053287,0.009,,0.009,0
0.65,3,dynamic,0.01,100,Yes,12,104.766,176.2318841,0.774362164,1.7143,0,0.021816485,,,0.0345,0,0.0345
0.65,5,dynamic,0.01,100,Yes,5,114.4144,187.5294118,0.776362473,1.9668,1,,0.000864348,0.0017,,0.0017,0
0.9,3,dynamic,0.01,100,Yes,12,131.7548,179.8235294,0.778236218,1.8203,0,0.073669175,,,0.1157,0,0.1157
