"replications","input1","input2","input3","input4","output1","output2"
1,"A",1,"Z",11,-0.0295063808540561,0.981163093760986
2,"A",1,"Z",11,1.06748334367757,-0.797572021988993
3,"A",1,"Z",11,0.939968055542228,0.441339819608986
4,"A",1,"Z",11,2.07989791101042,1.80467486636849
5,"A",1,"Z",11,1.35177800423077,0.881540318310399
6,"A",1,"Z",11,1.78453748633482,0.795769232354886
7,"A",1,"Z",11,1.00082039486291,0.504146515391469
8,"A",1,"Z",11,-0.206784058795536,0.050264157535969
9,"A",1,"Z",11,0.431404039346183,-0.316652584311446
10,"A",1,"Z",11,-0.219993394749612,0.277464507652861
11,"A",1,"Z",11,1.53930399329966,1.22244539453624
12,"A",1,"Z",11,1.07925756591538,0.332962678862849
13,"A",1,"Z",11,-1.21291268587834,-0.426320820442152
14,"A",1,"Z",11,1.0031966088817,1.09473311896206
15,"A",1,"Z",11,1.43989997244877,1.74058901171547
16,"A",1,"Z",11,0.45747620874715,0.284936335897418
17,"A",1,"Z",11,-0.0265856306283823,0.998401533171189
18,"A",1,"Z",11,0.852428829643038,2.42137203468691
19,"A",1,"Z",11,0.427470546539381,0.894972299356338
20,"A",1,"Z",11,-0.577845990270024,-1.1870971210983
21,"A",1,"Z",11,3.20339530021917,2.22129054292395
22,"A",1,"Z",11,2.03734819955008,1.8804409487707
23,"A",1,"Z",11,-0.253293715447833,-0.276469704169536
24,"A",1,"Z",11,0.590935787717888,1.81762294554226
25,"A",1,"Z",11,1.58713223089818,1.78338228901874
26,"A",1,"Z",11,-0.482136510494273,0.496524130167239
27,"A",1,"Z",11,-0.466884685538791,-1.04112458002068
28,"A",1,"Z",11,1.59118183066344,1.79633927451104
29,"A",1,"Z",11,1.48656356665919,1.89431273011094
30,"A",1,"Z",11,1.89883748973314,1.73880037088022
31,"A",1,"Z",11,0.972874201759332,1.34445222954292
32,"A",1,"Z",11,0.552136690426247,0.214343964662698
33,"A",1,"Z",11,0.0845595698574005,2.02588901342165
34,"A",1,"Z",11,0.090390374980847,-0.486392224671634
35,"A",1,"Z",11,-0.902049855821856,-0.735981029370762
36,"A",1,"Z",11,0.297484284269886,0.111708623060572
37,"A",1,"Z",11,1.60526081979854,1.60531893972856
38,"A",1,"Z",11,1.54373399558296,0.994419148302504
39,"A",1,"Z",11,-0.121869010798953,1.46739424249489
40,"A",1,"Z",11,-0.393451001487671,-0.254715190645204
41,"A",1,"Z",11,1.22702540449802,-0.194801373469298
42,"A",1,"Z",11,1.97139210263398,2.53314505413006
43,"A",1,"Z",11,1.75761310914565,1.63593962774759
44,"A",1,"Z",11,3.25880633071895,4.20078780180146
45,"A",1,"Z",11,-0.610368727254404,0.530877434557732
46,"A",1,"Z",11,2.23861948868457,1.556693321215
47,"A",1,"Z",11,1.86303634960088,3.19349090869825
48,"A",1,"Z",11,1.4896983776787,2.45239288920525
49,"A",1,"Z",11,1.72181300129202,1.87879557282957
50,"A",1,"Z",11,1.28848769879136,1.53361017908437
51,"A",1,"Z",11,0.656209541956408,1.55097528430335
52,"A",1,"Z",11,-0.172265184688054,0.0853468402536894
53,"A",1,"Z",11,-0.957586056842925,0.220950174114366
54,"A",1,"Z",11,0.857055205501595,-0.556791046207451
55,"A",1,"Z",11,1.07896229184781,1.62042048271339
56,"A",1,"Z",11,0.101476094536222,1.21012224347698
57,"A",1,"Z",11,1.49110444267084,1.67089151988688
58,"A",1,"Z",11,2.6997332472445,1.9929703079252
59,"A",1,"Z",11,2.43198896018037,2.42032808955958
60,"A",1,"Z",11,1.07843835878376,1.03580415592893
61,"A",1,"Z",11,1.72047499272151,1.99520969566155
62,"A",1,"Z",11,-0.179644768905355,0.499578322022848
63,"A",1,"Z",11,2.58710951770882,1.01015876602328
64,"A",1,"Z",11,-0.446634823681892,-0.135394953782531
65,"A",1,"Z",11,-0.494777579969589,0.539405391872073
66,"A",1,"Z",11,0.98242059216378,1.63832593405551
67,"A",1,"Z",11,1.67650743001796,0.794378259653386
68,"A",1,"Z",11,1.14360463769052,0.375888005456493
69,"A",1,"Z",11,1.85289313957944,1.36937120247804
70,"A",1,"Z",11,0.493623125793234,0.405231692631024
71,"A",1,"Z",11,-0.583645990308814,-0.109431110517753
72,"A",1,"Z",11,3.06598749781563,2.29691554259694
73,"A",1,"Z",11,0.748086445607086,0.53111321794077
74,"A",1,"Z",11,0.856342068995904,-0.457050401094506
75,"A",1,"Z",11,0.795435953333586,1.39236506016929
76,"A",1,"Z",11,1.00669598685475,2.68963399890957
77,"A",1,"Z",11,0.943380581954108,0.412873908302431
78,"A",1,"Z",11,1.82086299661205,1.37682065642288
79,"A",1,"Z",11,-1.60600619605806,-1.14912307165917
80,"A",1,"Z",11,1.04557340514877,0.584528480132148
81,"A",1,"Z",11,0.936610757529001,0.72931993909765
82,"A",1,"Z",11,3.51845812155755,4.32572785350721
83,"A",1,"Z",11,3.72724344781728,2.71585446663217
84,"A",1,"Z",11,-0.408417810956641,-0.418290652094592
85,"A",1,"Z",11,-0.0746605559347919,0.0702429281465278
86,"A",1,"Z",11,2.73160009745642,2.011721176386
87,"A",1,"Z",11,0.996493059753515,1.96057350792564
88,"A",1,"Z",11,1.15179964491298,0.374452730131434
89,"A",1,"Z",11,1.60648530928636,2.75111906548133
90,"A",1,"Z",11,1.19822471728393,1.36383284482767
91,"A",1,"Z",11,2.07460180494242,0.31573124841777
92,"A",1,"Z",11,1.91177787285418,-0.393466249166191
93,"A",1,"Z",11,2.76666773475799,1.83781276498769
94,"A",1,"Z",11,0.933784759971147,1.31230518353488
95,"A",1,"Z",11,1.73280013703135,2.13486300437392
96,"A",1,"Z",11,1.29803546537902,0.392224318177562
97,"A",1,"Z",11,-0.0166000338952137,0.465802692282528
98,"A",1,"Z",11,1.33157267783171,1.60012046561506
99,"A",1,"Z",11,0.288490023102504,0.325221456719058
100,"A",1,"Z",11,2.36645481181164,1.48764943254478
101,"A",1,"Z",11,2.73692883187885,1.20393158257639
102,"A",1,"Z",11,2.1125205706218,2.69134896805102
103,"A",1,"Z",11,0.175743861198941,0.919326898422963
104,"A",1,"Z",11,1.7778338919584,1.77547478273278
105,"A",1,"Z",11,-0.335882576338926,-0.321953736383902
106,"A",1,"Z",11,-0.823890812762696,-1.56557926973165
107,"A",1,"Z",11,0.805951904066902,1.14223812270601
108,"A",1,"Z",11,-1.0746693617677,-0.823193202507204
109,"A",1,"Z",11,0.176498396989064,-0.0216888313836789
110,"A",1,"Z",11,2.89233293358816,1.77600123878088
111,"A",1,"Z",11,1.15867485941754,0.434357306304883
112,"A",1,"Z",11,1.1891066524187,0.130862208121808
113,"A",1,"Z",11,1.94111235056849,1.82343689176308
114,"A",1,"Z",11,-2.70846507157708,-1.21507609454745
115,"A",1,"Z",11,1.65855289190531,1.59574505908636
116,"A",1,"Z",11,1.68106501841069,1.58337217492087
117,"A",1,"Z",11,0.129275903774359,0.581017452065564
118,"A",1,"Z",11,0.602897024648075,0.281153476618712
119,"A",1,"Z",11,2.17790984483739,3.18961347909626
120,"A",1,"Z",11,0.417810869233253,1.06054203292011
121,"A",1,"Z",11,0.0175086478787445,-0.468695931011889
122,"A",1,"Z",11,1.85589614609786,2.70982761180549
123,"A",1,"Z",11,0.41321290840093,0.336338575512982
124,"A",1,"Z",11,0.712677845142907,-0.0873161943031704
125,"A",1,"Z",11,1.83276173505422,3.41049889678208
126,"A",1,"Z",11,2.98581575164113,2.9286096063522
127,"A",1,"Z",11,0.607943065520378,-0.368658984670179
128,"A",1,"Z",11,2.71590334482664,2.27609562245057
129,"A",1,"Z",11,0.590390167549723,0.330804351422556
130,"A",1,"Z",11,1.1349836039096,0.759848189315564
131,"A",1,"Z",11,0.515302165132341,0.537151593281449
132,"A",1,"Z",11,-0.160970690855105,0.154335079444329
133,"A",1,"Z",11,1.28691648540476,1.5269668174427
134,"A",1,"Z",11,-0.120459475559613,0.419761796703478
135,"A",1,"Z",11,1.46944946776715,2.47914793757969
136,"A",1,"Z",11,-1.10812218223337,0.190694168097015
137,"A",1,"Z",11,-0.0995237472752515,0.318556742140053
